,severity,description
142,2,At Midlothian Rd - Accident.
143,2,At IL-43/Harlem Ave/Exit 283 - Accident.
144,2,At OHare Oasis - Accident.
145,2,At IL-173/Rosecrans Rd - Accident.
146,2,At Gunderson Ave - Accident.
147,3,Between 75th St and I-55/Stevenson Expy (South) - Accident.
148,2,At IL-50/S Cicero Ave - Accident.
149,2,Between I-90/N-W Tollway/Kennedy Expy and Touhy Toll Plaza - Accident.
150,2,At Touhy Ave/Exit 39 - Accident.
151,2,At Bryn Mawr Ave/Nagle Ave/Exit 82 - Accident.
152,2,At 9th St - Accident.
153,2,At Butterfield Rd - Accident.
154,2,At Northwest Pkwy - Accident.
155,2,At Cumberland Ave - Accident.
156,2,Between Cumberland Ave and Des Plaines River Rd/River Rd - Accident.
157,2,At Dymond Rd - Accident.
158,2,At Highland Ave - Accident.
159,2,At Laramie Ave/Exit 24A - Accident.
160,2,Between I-290/Eisenhower Expy and Northwest Ave - Accident.
161,2,At 22nd St - Accident.
162,2,At Lancer Ln - Accident.
163,2,At Hillview Dr - Accident.
164,2,At Winfield Rd - Accident.
165,2,At Hawley St - Accident.
166,2,At Double Eagle Dr - Accident.
167,2,At Prince Crossing Rd - Accident.
168,2,At 1st St - Accident.
169,2,Between Kilbourn Rd and US-41/N Skokie Hwy - Accident.
170,3,At IL-171/Archer Ave - Accident.
171,2,At Kelsey Rd - Accident.
172,2,At IL-131 - Accident.
173,2,At North Chicago - Accident.
174,2,At S Main St (Lombard) - Accident.
175,2,At Milwaukee Ave - Accident.
176,2,At IL-64/North Ave - Accident.
177,2,At Crescent Ave - Accident.
178,2,At IL-53 - Accident.
179,2,At US-34/Ogden Ave - Accident.
180,2,At 2nd Ave - Accident.
181,2,At 10th St/55th St - Accident.
182,2,At Herrick Rd - Accident.
183,3,At US-34/Ogden Ave - Accident.
184,2,At Bowell Rd CR 300 E - Accident.
185,2,At County Road 300 E - Accident.
186,2,At CR-23/Naperville Rd - Accident.
187,2,At CR-23/Naperville Rd - Accident.
188,2,At US-30/Exit 253 - Accident.
189,4,Closed at IL-171/Exit 282 - Road closed due to accident.
190,2,Ramp to I-294/Tri-State Tollway - Accident.
191,2,Ramp to I-88/Ronald Regan Meml Tollway WB - Accident.
192,2,At Town Rd - Accident.
193,3,At Austin Blvd/Exit 23A - Accident.
194,2,At St Charles Rd - Accident.
195,2,At US-12/US-20/95th St - Accident.
196,2,At Park Blvd - Accident.
197,2,At I-290/Eisenhower Expy - Accident.
198,2,At US-231/Exit 247 - Accident. Left lane blocked.
199,2,At CR-13/14th St - Accident. Left lane blocked.
200,2,At Portwine Rd - Accident.
201,2,At CR-28/CR-V63/N Cedar Lake Rd - Accident.
202,2,At Janes Ave - Accident.
203,2,At Damen Ave/Exit 28A - Accident.
204,2,At Northwind Blvd - Accident.
205,2,At West Foster Ave/Exit 42 - Accident.
206,2,At Lincoln Ave - Accident.
207,2,Between 10th St/55th St and US-34/Ogden Ave - Accident.
208,2,At US-30/Lincoln Hwy/Exit 340 - Accident.
209,2,At Lawrence Ave/Exit 84 - Accident.
210,2,At CR-3/Ferry Rd - Accident.
211,2,At West Foster Ave/Exit 42 - Accident.
212,2,At IL-171/Exit 282 - Accident.
213,3,At St Charles Rd/Exit 14 - Accident.
214,2,At Apple Orchard Ln - Accident.
215,2,At Tri State Pkwy - Accident.
216,2,At Spring Rd - Accident.
217,2,At St Charles Rd/Exit 14 - Accident.
218,2,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
219,2,At County Farm Rd - Accident.
220,2,At I-294/S Des Plaines River Rd - Accident.
221,2,At IL-173/Rosecrans Rd - Accident.
222,2,At Meyers Rd - Accident.
223,2,At CR-23/Naperville Rd - Accident.
224,2,At Central Ave/Exit 13 - Accident.
225,2,At IL-38/Roosevelt Rd - Accident.
226,2,At Claremont Dr - Accident.
227,2,At IL-64/North Ave - Accident.
228,2,At McCormick Ave - Accident.
229,2,At President St - Accident.
230,2,At Burlington Ave - Accident.
231,2,At Church Ave - Accident.
232,2,Between Homan Ave/Exit 26B and Independence Blvd/Exit 26A - Accident.
233,4,Closed at Egidi Ln - Road closed due to accident.
234,2,At CR-43/S County Farm Rd - Accident.
235,2,At Pine St - Accident.
236,2,At Great America Pkwy - Accident.
237,2,At CR-7/Geneva Rd/St Charles Rd - Accident.
238,2,At Woodward Ave - Accident.
239,2,At WI-11/Exit 335 - Accident.
240,4,Closed at Racine Ave - Road closed due to accident.
241,2,At CR-31/87th St - Accident.
242,2,At West Trl - Accident.
243,2,At I-94/Tri-State Tollway - Accident.
244,2,At Westleigh Rd - Accident.
245,2,At Port Clinton Rd - Accident.
246,2,At CR-23/Naperville Rd - Accident.
247,2,At CR-9/Highland Ave - Accident.
248,2,At Clarendon Hills Rd - Accident.
249,2,At Clarendon Hills Rd - Accident.
250,2,At 75th St - Accident.
251,2,At IL-83 - Accident.
252,2,At I-294/IL-38/Roosevelt Rd - Accident.
253,2,At IL-64/North Ave/Exit 48B - Accident.
254,2,At Elmhurst Rd - Accident.
255,3,Between Highland Ave and Midwest Rd - Accident.
256,2,At Hammond Dr - Accident.
257,2,At Devon Toll Plaza - Accident.
258,2,At Fair Oaks Rd - Accident.
259,3,At 18th St/Exit 52C - Accident.
260,2,At Bartlett Rd - Accident.
261,2,At Allanson Rd - Accident.
262,2,At County Farm Rd - Accident.
263,2,At US-41/N Skokie Hwy - Accident.
264,2,At CR-15/Summit Ave - Accident.
265,2,At IL-59 - Accident.
266,2,At Fairway Dr - Accident.
267,2,At Washington St - Accident.
268,2,At Churchill Ln - Accident.
269,2,At CR-2/Hobson Rd - Accident.
270,2,At CR-22/CR-W27/N Delany Rd - Accident.
271,2,At Schmale Rd - Accident.
272,2,At IL-53 - Accident.
273,3,At IL-25 - Accident.
274,2,At I-94/Tri-State Tollway - Accident.
275,2,At US-12/IL-59/N Rand Rd - Accident.
276,2,At IL-131/N Green Bay Rd - Accident.
277,2,At Burlington Ave - Accident.
278,2,At Cemetery Rd - Accident.
279,2,Between IL-134/W Big Hollow Rd and IL-59 - Accident.
280,2,At I-94/Tri-State Tollway - Accident.
281,2,At CR-55/CR-A18/W Monaville Rd - Accident.
282,2,At I-94/Tri-State Tollway - Accident.
283,2,Between Fairway Dr and Ranney Ave - Accident.
284,2,At Parkview Blvd - Accident.
285,2,At IL-38/Roosevelt Rd - Accident.
286,2,At Parkway Dr - Accident.
287,2,At Cass Ave - Accident.
288,2,At I-294/Tri-State Tollway - Accident.
289,2,At CR-41/CR-W19/N St Marys Rd - Accident.
290,2,At IL-21/N Milwaukee Ave - Accident.
291,2,At Prairie Rd - Accident.
292,3,At Army Trail Toll Plaza - Accident.
293,2,At Riverside Dr - Accident.
294,4,Closed between Troy St and Columbus Ave - Road closed due to accident.
295,4,Closed between 83rd St and 77th St - Road closed due to accident.
296,4,Closed between 77th St and 83rd St - Road closed due to accident.
297,4,Closed between Columbus Ave and Troy St - Road closed due to accident.
298,2,At Oakland Grv - Accident.
299,2,At Barrington Rd - Accident.
300,2,At IL-83/Kingery Hwy - Accident.
301,2,At Lake St - Accident.
302,2,At IL-50/Cicero Ave - Accident.
303,2,At IL-63/Midlothian Rd - Accident.
304,2,At IL-1/Halsted St/Exit 357 - Accident.
305,2,At CR-46/Sunset Ave - Accident.
306,2,At CR-A31/22nd St/ML King Jr Dr - Accident.
307,3,At 51st St/Exit 57A - Accident.
308,2,At Spring Rd - Accident.
309,2,At Winfield Rd - Accident.
310,2,At Warrenville Rd - Accident.
311,2,At CR-60/CR-V57/Ela Rd - Accident.
312,2,At Northbrook Court Dr - Accident.
313,3,At I-94/Lake-Cook Rd - Accident.
314,2,At Midway Dr - Accident.
315,2,At Sayton Rd - Accident.
316,2,At CR-55/CR-A18/W Monaville Rd - Accident.
317,2,At IL-58/Dempster St/Exit 37 - Accident.
318,2,At Pleasant Hill Rd - Accident.
319,2,At Robert Parker Coffin Rd - Accident.
320,2,At CR-45/CR-A22/Washington St - Accident.
321,2,At Gary Ave - Accident.
322,2,At S Bartlett Rd - Accident.
323,2,At Dilleys Rd - Accident.
324,3,At IL-68/Dundee Rd/Exit 30 - Accident.
325,2,At Damen Ave/Exit 290 - Accident.
326,2,At 83rd St - Accident.
327,2,At IL-120/Belvidere Rd - Accident.
328,2,At Skokie Hwy - Accident.
329,2,At Executive Way Dr - Accident.
330,2,At IL-59 - Accident.
331,2,At Hewitt Dr - Accident.
332,2,At Old Grand Ave - Accident.
333,2,At US-12/US-45/Mannheim Rd - Accident.
334,2,At Devon Toll Plaza - Accident.
335,2,At Ramblewood Dr - Accident.
336,2,At 22nd St - Accident.
337,2,At Union Pier Rd/Exit 6 - Accident.
338,3,At Touhy Ave - Accident.
339,4,At I-90/N-W Tollway/Kennedy Expy - Accident.
340,2,At IL-59 - Accident.
341,2,At E 18th Dr - Accident.
342,4,Closed at Ash St - Road closed due to accident.
343,4,Closed at Gladiolus St - Road closed due to accident.
344,2,At I-55/Stevenson Expy - Accident.
345,2,At Timberlake Dr - Accident.
346,2,At Dawes St - Accident.
347,2,At CR-22/CR-W27/N Delany Rd - Accident.
348,2,At Allanson Rd - Accident.
349,2,At Chelsea Ave - Accident.
350,4,Closed at Gladiolus St - Road closed due to accident.
351,4,Closed at 11250E Rd - Road closed due to accident.
352,2,At Weld Rd - Accident.
353,2,At Austin Blvd/Exit 23A - Accident.
354,2,At 9th Ave/Exit 19B - Accident.
355,2,Between Pulaski Rd/Exit 44B and Keeler Ave/Exit 44A - Accident.
356,3,At Lake St/Exit 51A - Accident.
357,2,At 22nd St - Accident.
358,2,At I-94/Tri-State Tollway - Accident.
359,2,At 137th St/Doty Ave/Exit 69 - Accident.
360,2,At White Oak Ln - Accident. Right lane blocked.
361,2,Between I-294/IL-38/Roosevelt Rd and Wolf Rd/Exit 16 - Accident.
362,2,At Greenbrook Blvd - Accident.
363,2,At Stearns School Rd - Accident.
364,2,At River Rd/Exit 241 - Accident.
365,2,At Gary Ave - Accident.
366,2,At 76th St/Exit 60B - Accident.
367,2,At Kenosha Rd - Accident.
368,2,At IL-59/N Hough St - Accident.
369,2,At Country Ln - Accident.
370,2,At Winfield Rd - Accident.
371,2,At Woodward Ave - Accident.
372,2,At Washington St - Accident.
373,4,Closed at CR-36/CR-V67/Deep Lake Rd - Road closed due to accident.
374,4,Closed at Grimm Rd - Road closed due to accident.
375,2,At Adams St - Accident.
376,2,At CR-44/CR-V47/N Darrell Rd - Accident.
377,2,At Madison St - Accident.
378,2,At IL-132/Grand Ave - Accident.
379,2,At 22nd St - Accident.
380,2,At E Grand Ave/Washington St - Accident.
381,2,At CR-17/Maple Ave - Accident.
382,2,At Mt Prospect Rd/County Line Rd - Accident.
383,2,At Blanchard Cir - Accident.
384,2,At CR-38/CR-W20/S Oplaine Rd - Accident.
385,2,At 21st St - Accident.
386,2,At Pershing Ave - Accident.
387,2,At Cass Ave - Accident.
388,2,At IL-83/Kingery Hwy - Accident.
389,2,At Blanchard Cir - Accident.
390,2,At I-94/I-294/Edens Expy Spur - Accident.
391,2,At US-34/Ogden Ave - Accident.
392,2,At IL-43/Waukegan Rd - Accident.
393,2,At IL-43/Waukegan Rd - Accident.
394,2,At Hart Rd - Accident.
395,2,At Montrose Ave/Exit 43C - Accident.
396,2,At S Finley Rd - Accident.
397,2,At Surrey Dr - Accident.
398,2,At Austin Blvd/Exit 23A - Accident.
399,2,At 18th St/Exit 52C - Accident.
400,2,At Adams St/Exit 51F - Accident.
401,4,Closed at Kennedy Ave/Exit 3 - Road closed due to accident.
402,3,At Garfield Blvd/Exit 57B - Accident.
403,2,At Burr St/Exit 6 - Accident.
404,2,At US-30/Exit 253 - Accident.
405,2,At Naperville Rd - Accident.
406,2,At Huntington Blvd - Accident.
407,2,At Huntington Blvd - Accident.
408,2,At IL-22/Half Day Rd - Accident.
409,3,At 79th St/60C - Accident.
410,4,Closed between US-231/Exit 247 and 109th Ave/Exit 249 - Road closed due to accident.
411,3,Between Kennedy Ave/Exit 3 and IN-912/Cline Ave/Exit 5 - Accident.
412,3,Ramp to I-55 Northbound and Joliet Rd - Accident.
413,3,Ramp to I-55/Stevenson Expy and Joliet Rd - Accident.
414,3,Ramp to I-55/Stevenson Expy (North) - Accident.
415,3,At Grant St/Exit 9 - Accident.
416,2,At Damen Ave/Exit 47B - Accident.
417,2,At Independence Blvd/Exit 26A - Accident.
418,2,At 35th St/Exit 55A - Accident.
419,2,At CR-KR/County Line Rd/Exit 337 - Accident.
420,2,At 59th St/Exit 58A - Accident.
421,3,At US-12/US-20/95th St/Exit 62 - Accident.
422,2,At IL-1/Halsted St/Exit 357 - Accident.
423,2,At 47th St/Exit 56B - Accident.
424,2,At Kennedy Ave/Exit 3 - Accident.
425,2,Ramp to I-55/Stevenson Expy - Accident.
426,2,Ramp to I-55/Stevenson Expy - Accident.
427,2,Ramp to Canalport Ave/Cermak Rd/Exit 53 - Accident.
428,2,At CR-C/Wilmot Rd/Exit 345 - Accident.
429,4,Closed at 109th Ave/Exit 249 - Road closed due to accident.
430,2,At Grant St/Exit 9 - Accident.
431,2,At 109th Ave/Exit 249 - Accident.
432,2,At 47th St/Exit 56B - Accident.
433,2,At I-294/Exit 277A - Accident.
434,2,Ramp to Exit 345B - Accident.
435,2,Ramp to I-290/Eisenhower Expy - Accident.
436,2,Ramp to I-290/Eisenhower Expy Westbound - Accident.
437,2,At Roosevelt Rd - Accident.
438,2,Ramp to Exit 51H - Accident.
439,2,At 31st St/Oak Brook Rd - Accident.
440,2,Ramp to I-290/Eisenhower Expy - Accident.
441,2,At 31st St/Oak Brook Rd - Accident.
442,2,Ramp to Roosevelt Rd - Accident.
443,2,At IL-22/W Half Day Rd - Accident.
444,2,At Mathon Dr - Accident.
445,2,At Joliet Rd - Accident.
446,2,At St Lawrence Ave - Accident.
447,2,At IL-137 - Accident.
448,2,At 59th St/Exit 58A - Accident.
449,2,At US Highway 12 - Accident.
450,2,At 18th St/Exit 52C - Accident.
451,2,At I-355/North-South Tollway - Accident.
452,2,At I-355/North-South Tollway - Accident.
453,2,Between Highland Ave and Midwest Rd - Accident.
454,2,Between Buckley Rd and Cavin Dr - Accident.
455,2,At Lawson Blvd - Accident.
456,2,At I-94/Tri-State Tollway - Accident.
457,2,Between Kostner Ave/Exit 25 and IL-50/Cicero Ave/Exit 24B - Accident.
458,2,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
459,2,Between I-55/Stevenson Expy/Exit 53C and I-55/Stevenson Expy/Exit 53B - Accident.
460,2,At IL-50/Cicero Ave/Exit 24B - Accident.
461,2,At Maple Ave - Accident.
462,2,At York Rd - Accident.
463,2,At St Charles Rd - Accident.
464,2,At Barrington Rd - Accident.
465,2,At Montrose Ave/Exit 43C - Accident.
466,2,At I-88/IL-56/Butterfield Rd - Accident.
467,2,At Grey Ave - Accident.
468,2,At CR-100/CR-A50/Lake Cook Rd - Accident.
469,2,At IL-64/North Ave - Accident.
470,2,At CR-100/CR-A50/Lake Cook Rd - Accident.
471,2,Ramp to I-55/Stevenson Expy - Accident.
472,2,Ramp to I-55/Stevenson Expy - Accident.
473,2,Ramp to Canalport Ave/Cermak Rd/Exit 53 - Accident.
474,2,At IL-50/Cicero Ave/Exit 286 - Accident.
475,2,At IL-83 - Accident.
476,2,At IL-58/Golf Rd - Accident.
477,2,At Prairie Crossing Dr - Accident.
478,2,At Prairie Crossing Dr - Accident.
479,2,At Grove Ave - Accident.
480,2,At Barrington Rd - Accident.
481,2,Between IL-58/Dempster St/Exit 37 and Touhy Ave/Exit 39 - Accident.
482,2,At 71st St/Exit 59C (East) - Accident.
483,2,At IL-137/Buckley Rd - Accident.
484,2,At IL-83/Kingery Hwy - Accident.
485,2,At I-94/Tri-State Tollway - Accident.
486,2,At US-12/US-20/US-45/Exit 279 - Accident.
487,2,At IL-21/N Milwaukee Ave - Accident.
488,2,At IL-171/Archer Ave - Accident.
489,2,At CR-29/CR-W15/N Hunt Club Rd - Accident.
490,2,At Joliet St - Accident.
491,2,At Gages Lake Rd - Accident.
492,2,At 35th St/Exit 55A - Accident.
493,3,At IL-50/Cicero Ave/Exit 24B - Accident.
494,3,At 25th Ave/Exit 18 - Accident.
495,3,At Westleigh Rd - Accident.
496,3,At Westleigh Rd - Accident.
497,3,At Checker Rd - Accident.
498,3,At Lakehurst Rd - Accident.
499,3,At Lakehurst Rd - Accident.
500,3,At Western Ave - Accident.
501,3,Between Morgan St/Exit 29B and I-90/I-94 - Accident.
502,3,At Western Ave - Accident.
503,3,At Old Hicks Rd - Accident.
504,3,At Old Hicks Rd - Accident.
505,3,At Green Bay Rd - Accident.
506,3,At Green Bay Rd - Accident.
507,3,At Ashland Ave - Accident.
508,3,At Fairfield Rd - Accident.
509,3,At Fairfield Rd - Accident.
510,3,At Ml King Jr Dr - Accident.
511,3,At Ml King Jr Dr - Accident.
512,3,At Orleans St - Accident.
513,3,At Belden St - Accident.
514,3,At Belden St - Accident.
515,3,At Kostner Ave - Accident.
516,3,At Deerpath Dr - Accident.
517,3,At IL Route 83 - Accident.
518,3,At Kostner Ave - Accident.
519,3,At Deerpath Dr - Accident.
520,3,Between 9th Ave/Exit 19B and 1st Ave/Exit 20 - Accident.
521,3,At US-12/US-20/US-45/Exit 17 - Accident.
522,3,At Oakley BLV/Western Ave/Exit 27C - Accident.
523,3,At IL-58/Golf Rd - Accident.
524,2,Between Burr St/Exit 6 and Exit 10 - Accident.
525,2,Ramp to I-80/I-94 Wb - Accident.
526,2,Ramp to I-80/I-94/US-6/Exit 259 - Accident.
527,2,Ramp to I-80/I-94 Westbound - Accident.
528,2,At US-12/US-20/95th St - Accident.
529,2,At Winchester Rd - Accident.
530,2,At Station St - Accident.
531,2,Between IN-53/Broadway/Exit 10 and I-65/Exit 11 - Accident.
532,2,At US-41/Calumet Ave/Exit 1 - Accident.
533,3,Between 31st St/Exit 54 and I-55/Stevenson Expy/Exit 53C - Accident.
534,2,At Touhy Ave/Exit 39 - Accident.
535,2,Between Farnsworth Ave and Diehl Rd/Bilter Rd - Accident.
536,2,At IL-53 - Accident.
537,2,At US-421/Exit 34 - Accident.
538,2,Between I-65/Exit 12 and Central Ave/Exit 13 - Accident.
539,2,At Deerpath Rd - Accident.
540,2,At Grant St/Exit 9 - Accident.
541,2,At Loop Rd - Accident.
542,2,At CR-46/CR-A19/Sunset Ave - Accident.
543,2,At Touhy Ave/Exit 39 - Accident.
544,2,At IL-1/Halsted St/Exit 357 - Accident.
545,2,At Fairway Dr - Accident.
546,2,At California Ave/Exit 27B - Accident.
547,2,At Deer Point Dr - Accident.
548,2,At 10th St/55th St - Accident.
549,2,At Myrtle St - Accident.
550,2,At 10th St/55th St - Accident.
551,2,At Greene Rd - Accident.
552,2,At Meyers Rd - Accident.
553,2,At Lily Ln - Accident.
554,2,At Washington St - Accident.
555,2,At 35th St/Exit 55A - Accident.
556,2,Ramp to S Pulaski Rd - Accident.
557,2,Ramp to Exit 287 - Accident.
558,2,At I-90/Kennedy Expy - Accident.
559,2,At IL-64/North Ave - Accident.
560,2,Between Lake St and IL-137 - Accident.
561,2,At 31st St/Exit 54 - Accident.
562,2,At 35th St/Exit 55A - Accident.
563,4,Closed at US-30/Lincoln Hwy - Road closed due to accident.
564,2,At Mercury Dr - Accident.
565,2,At Belvidere Rd - Accident.
566,2,At CR-55/CR-A18/W Monaville Rd - Accident.
567,2,At Lake St/Exit 51A - Accident.
568,2,At IL-43/Waukegan Rd - Accident.
569,2,At CR-17/Bowes Rd - Accident.
570,2,Between S Roselle Rd and North Dr - Accident.
571,2,At CR-7/CR-V58/Wilson Rd - Accident.
572,2,At Stony Island Ave/Exit 65 - Accident.
573,2,At CR-3/Ferry Rd - Accident.
574,3,At I-88/I-294/Exit 15A - Accident.
575,2,Between US-34/Ogden Ave and Maple Ave - Accident.
576,2,At Des Plaines Oasis - Accident.
577,2,At IL-38/Roosevelt Rd - Accident.
578,2,At IL-38/Roosevelt Rd - Accident.
579,2,At Kostner Ave/Exit 25 - Accident.
580,3,At Kostner Ave/Exit 25 - Accident.
581,3,At L-173/W IL-173/Rosecrans Rd - Accident.
582,3,At L-173/W IL-173/Rosecrans Rd - Accident.
583,3,At Old McHenry Rd - Accident.
584,3,At IL-22/W Half Day Rd - Accident.
585,3,At Touhy Ave/Exit 39 - Accident.
586,3,At IL-137/Buckley Rd/Peterson Rd - Accident.
587,3,At IL-137/Buckley Rd/Peterson Rd - Accident.
588,3,At IL-7/Southwest Hwy - Accident.
589,3,At IL-7/Southwest Hwy - Accident.
590,3,At IL-173 - Accident.
591,3,At Kennedy Rd - Accident.
592,3,At IL-173 - Accident.
593,3,At US-12/IL-59/N Rand Rd - Accident.
