severity,description
4,At Cermak Rd/Exit 293 - Accident.
2,At 115th St/Exit 66B - Accident.
3,At Fullerton Ave/Exit 47A - Accident.
2,At US-12/US-20/95th St - Accident.
2,At 130th St/Exit 68 - Accident.
2,Between I-294/Tri-State Tollway and IL-72/W Higgins Rd - Accident.
2,At IL-83/Sibley Blvd/Exit 71 - Accident.
2,At North Ave - Accident.
2,At US-20/IL-83/W Lake St - Accident.
3,Between Barrington Rd and IL-59 - Accident.
2,At IL-64/North Ave - Accident.
2,At IL-64/North Ave - Accident.
2,At US-20/Lake St - Accident.
2,At CR-21/Big Timber Rd - Accident.
2,Between Deer Park Town Center and Hicks Rd - Accident.
3,At IL-72/W Higgins Rd - Accident.
2,At Fullerton Ave/Exit 47A - Accident.
2,At I-80 - Accident.
2,At E Old Elm Rd/Old Elm Rd - Accident.
2,At IL-137 - Accident.
2,Between West Foster Ave/Exit 42 and US-14/Peterson Ave/Exit 41B - Accident.
2,At Kingsbury Dr - Accident.
2,At Midlothian Rd - Accident.
2,At IL-43/Harlem Ave/Exit 283 - Accident.
2,At OHare Oasis - Accident.
2,At IL-173/Rosecrans Rd - Accident.
2,At Gunderson Ave - Accident.
3,Between 75th St and I-55/Stevenson Expy (South) - Accident.
2,At IL-50/S Cicero Ave - Accident.
2,Between I-90/N-W Tollway/Kennedy Expy and Touhy Toll Plaza - Accident.
2,At Touhy Ave/Exit 39 - Accident.
2,At Bryn Mawr Ave/Nagle Ave/Exit 82 - Accident.
2,At 9th St - Accident.
2,At Butterfield Rd - Accident.
2,At Northwest Pkwy - Accident.
2,At Cumberland Ave - Accident.
2,Between Cumberland Ave and Des Plaines River Rd/River Rd - Accident.
2,At Dymond Rd - Accident.
2,At Highland Ave - Accident.
2,At Laramie Ave/Exit 24A - Accident.
2,Between I-290/Eisenhower Expy and Northwest Ave - Accident.
2,At 22nd St - Accident.
2,At Lancer Ln - Accident.
2,At Hillview Dr - Accident.
2,At Winfield Rd - Accident.
2,At Hawley St - Accident.
2,At Double Eagle Dr - Accident.
2,At Prince Crossing Rd - Accident.
2,At 1st St - Accident.
2,Between Kilbourn Rd and US-41/N Skokie Hwy - Accident.
3,At IL-171/Archer Ave - Accident.
2,At Kelsey Rd - Accident.
2,At IL-131 - Accident.
2,At North Chicago - Accident.
2,At S Main St (Lombard) - Accident.
2,At Milwaukee Ave - Accident.
2,At IL-64/North Ave - Accident.
2,At Crescent Ave - Accident.
2,At IL-53 - Accident.
2,At US-34/Ogden Ave - Accident.
2,At 2nd Ave - Accident.
2,At 10th St/55th St - Accident.
2,At Herrick Rd - Accident.
3,At US-34/Ogden Ave - Accident.
2,At Bowell Rd CR 300 E - Accident.
2,At County Road 300 E - Accident.
2,At CR-23/Naperville Rd - Accident.
2,At CR-23/Naperville Rd - Accident.
2,At US-30/Exit 253 - Accident.
4,Closed at IL-171/Exit 282 - Road closed due to accident.
2,Ramp to I-294/Tri-State Tollway - Accident.
2,Ramp to I-88/Ronald Regan Meml Tollway WB - Accident.
2,At Town Rd - Accident.
3,At Austin Blvd/Exit 23A - Accident.
2,At St Charles Rd - Accident.
2,At US-12/US-20/95th St - Accident.
2,At Park Blvd - Accident.
2,At I-290/Eisenhower Expy - Accident.
2,At US-231/Exit 247 - Accident. Left lane blocked.
2,At CR-13/14th St - Accident. Left lane blocked.
2,At Portwine Rd - Accident.
2,At CR-28/CR-V63/N Cedar Lake Rd - Accident.
2,At Janes Ave - Accident.
2,At Damen Ave/Exit 28A - Accident.
2,At Northwind Blvd - Accident.
2,At West Foster Ave/Exit 42 - Accident.
2,At Lincoln Ave - Accident.
2,Between 10th St/55th St and US-34/Ogden Ave - Accident.
2,At US-30/Lincoln Hwy/Exit 340 - Accident.
2,At Lawrence Ave/Exit 84 - Accident.
2,At CR-3/Ferry Rd - Accident.
2,At West Foster Ave/Exit 42 - Accident.
2,At IL-171/Exit 282 - Accident.
3,At St Charles Rd/Exit 14 - Accident.
2,At Apple Orchard Ln - Accident.
2,At Tri State Pkwy - Accident.
2,At Spring Rd - Accident.
2,At St Charles Rd/Exit 14 - Accident.
2,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
2,At County Farm Rd - Accident.
2,At I-294/S Des Plaines River Rd - Accident.
2,At IL-173/Rosecrans Rd - Accident.
2,At Meyers Rd - Accident.
2,At CR-23/Naperville Rd - Accident.
2,At Central Ave/Exit 13 - Accident.
2,At IL-38/Roosevelt Rd - Accident.
2,At Claremont Dr - Accident.
2,At IL-64/North Ave - Accident.
2,At McCormick Ave - Accident.
2,At President St - Accident.
2,At Burlington Ave - Accident.
2,At Church Ave - Accident.
2,Between Homan Ave/Exit 26B and Independence Blvd/Exit 26A - Accident.
4,Closed at Egidi Ln - Road closed due to accident.
2,At CR-43/S County Farm Rd - Accident.
2,At Pine St - Accident.
2,At Great America Pkwy - Accident.
2,At CR-7/Geneva Rd/St Charles Rd - Accident.
2,At Woodward Ave - Accident.
2,At WI-11/Exit 335 - Accident.
4,Closed at Racine Ave - Road closed due to accident.
2,At CR-31/87th St - Accident.
2,At West Trl - Accident.
2,At I-94/Tri-State Tollway - Accident.
2,At Westleigh Rd - Accident.
2,At Port Clinton Rd - Accident.
2,At CR-23/Naperville Rd - Accident.
2,At CR-9/Highland Ave - Accident.
2,At Clarendon Hills Rd - Accident.
2,At Clarendon Hills Rd - Accident.
2,At 75th St - Accident.
2,At IL-83 - Accident.
2,At I-294/IL-38/Roosevelt Rd - Accident.
2,At IL-64/North Ave/Exit 48B - Accident.
2,At Elmhurst Rd - Accident.
3,Between Highland Ave and Midwest Rd - Accident.
2,At Hammond Dr - Accident.
2,At Devon Toll Plaza - Accident.
2,At Fair Oaks Rd - Accident.
3,At 18th St/Exit 52C - Accident.
2,At Bartlett Rd - Accident.
2,At Allanson Rd - Accident.
2,At County Farm Rd - Accident.
2,At US-41/N Skokie Hwy - Accident.
2,At CR-15/Summit Ave - Accident.
2,At IL-59 - Accident.
2,At Fairway Dr - Accident.
2,At Washington St - Accident.
2,At Churchill Ln - Accident.
2,At CR-2/Hobson Rd - Accident.
2,At CR-22/CR-W27/N Delany Rd - Accident.
2,At Schmale Rd - Accident.
2,At IL-53 - Accident.
3,At IL-25 - Accident.
2,At I-94/Tri-State Tollway - Accident.
2,At US-12/IL-59/N Rand Rd - Accident.
2,At IL-131/N Green Bay Rd - Accident.
2,At Burlington Ave - Accident.
2,At Cemetery Rd - Accident.
2,Between IL-134/W Big Hollow Rd and IL-59 - Accident.
2,At I-94/Tri-State Tollway - Accident.
2,At CR-55/CR-A18/W Monaville Rd - Accident.
2,At I-94/Tri-State Tollway - Accident.
2,Between Fairway Dr and Ranney Ave - Accident.
2,At Parkview Blvd - Accident.
2,At IL-38/Roosevelt Rd - Accident.
2,At Parkway Dr - Accident.
2,At Cass Ave - Accident.
2,At I-294/Tri-State Tollway - Accident.
2,At CR-41/CR-W19/N St Marys Rd - Accident.
2,At IL-21/N Milwaukee Ave - Accident.
2,At Prairie Rd - Accident.
3,At Army Trail Toll Plaza - Accident.
2,At Riverside Dr - Accident.
4,Closed between Troy St and Columbus Ave - Road closed due to accident.
4,Closed between 83rd St and 77th St - Road closed due to accident.
4,Closed between 77th St and 83rd St - Road closed due to accident.
4,Closed between Columbus Ave and Troy St - Road closed due to accident.
2,At Oakland Grv - Accident.
2,At Barrington Rd - Accident.
2,At IL-83/Kingery Hwy - Accident.
2,At Lake St - Accident.
2,At IL-50/Cicero Ave - Accident.
2,At IL-63/Midlothian Rd - Accident.
2,At IL-1/Halsted St/Exit 357 - Accident.
2,At CR-46/Sunset Ave - Accident.
2,At CR-A31/22nd St/ML King Jr Dr - Accident.
3,At 51st St/Exit 57A - Accident.
2,At Spring Rd - Accident.
2,At Winfield Rd - Accident.
2,At Warrenville Rd - Accident.
2,At CR-60/CR-V57/Ela Rd - Accident.
2,At Northbrook Court Dr - Accident.
3,At I-94/Lake-Cook Rd - Accident.
2,At Midway Dr - Accident.
2,At Sayton Rd - Accident.
2,At CR-55/CR-A18/W Monaville Rd - Accident.
2,At IL-58/Dempster St/Exit 37 - Accident.
2,At Pleasant Hill Rd - Accident.
2,At Robert Parker Coffin Rd - Accident.
2,At CR-45/CR-A22/Washington St - Accident.
2,At Gary Ave - Accident.
2,At S Bartlett Rd - Accident.
2,At Dilleys Rd - Accident.
3,At IL-68/Dundee Rd/Exit 30 - Accident.
2,At Damen Ave/Exit 290 - Accident.
2,At 83rd St - Accident.
2,At IL-120/Belvidere Rd - Accident.
2,At Skokie Hwy - Accident.
2,At Executive Way Dr - Accident.
2,At IL-59 - Accident.
2,At Hewitt Dr - Accident.
2,At Old Grand Ave - Accident.
2,At US-12/US-45/Mannheim Rd - Accident.
2,At Devon Toll Plaza - Accident.
2,At Ramblewood Dr - Accident.
2,At 22nd St - Accident.
2,At Union Pier Rd/Exit 6 - Accident.
3,At Touhy Ave - Accident.
4,At I-90/N-W Tollway/Kennedy Expy - Accident.
2,At IL-59 - Accident.
2,At E 18th Dr - Accident.
4,Closed at Ash St - Road closed due to accident.
4,Closed at Gladiolus St - Road closed due to accident.
2,At I-55/Stevenson Expy - Accident.
2,At Timberlake Dr - Accident.
2,At Dawes St - Accident.
2,At CR-22/CR-W27/N Delany Rd - Accident.
2,At Allanson Rd - Accident.
2,At Chelsea Ave - Accident.
4,Closed at Gladiolus St - Road closed due to accident.
4,Closed at 11250E Rd - Road closed due to accident.
2,At Weld Rd - Accident.
2,At Austin Blvd/Exit 23A - Accident.
2,At 9th Ave/Exit 19B - Accident.
2,Between Pulaski Rd/Exit 44B and Keeler Ave/Exit 44A - Accident.
3,At Lake St/Exit 51A - Accident.
2,At 22nd St - Accident.
2,At I-94/Tri-State Tollway - Accident.
2,At 137th St/Doty Ave/Exit 69 - Accident.
2,At White Oak Ln - Accident. Right lane blocked.
2,Between I-294/IL-38/Roosevelt Rd and Wolf Rd/Exit 16 - Accident.
2,At Greenbrook Blvd - Accident.
2,At Stearns School Rd - Accident.
2,At River Rd/Exit 241 - Accident.
2,At Gary Ave - Accident.
2,At 76th St/Exit 60B - Accident.
2,At Kenosha Rd - Accident.
2,At IL-59/N Hough St - Accident.
2,At Country Ln - Accident.
2,At Winfield Rd - Accident.
2,At Woodward Ave - Accident.
2,At Washington St - Accident.
4,Closed at CR-36/CR-V67/Deep Lake Rd - Road closed due to accident.
4,Closed at Grimm Rd - Road closed due to accident.
2,At Adams St - Accident.
2,At CR-44/CR-V47/N Darrell Rd - Accident.
2,At Madison St - Accident.
2,At IL-132/Grand Ave - Accident.
2,At 22nd St - Accident.
2,At E Grand Ave/Washington St - Accident.
2,At CR-17/Maple Ave - Accident.
2,At Mt Prospect Rd/County Line Rd - Accident.
2,At Blanchard Cir - Accident.
2,At CR-38/CR-W20/S Oplaine Rd - Accident.
2,At 21st St - Accident.
2,At Pershing Ave - Accident.
2,At Cass Ave - Accident.
2,At IL-83/Kingery Hwy - Accident.
2,At Blanchard Cir - Accident.
2,At I-94/I-294/Edens Expy Spur - Accident.
2,At US-34/Ogden Ave - Accident.
2,At IL-43/Waukegan Rd - Accident.
2,At IL-43/Waukegan Rd - Accident.
2,At Hart Rd - Accident.
2,At Montrose Ave/Exit 43C - Accident.
2,At S Finley Rd - Accident.
2,At Surrey Dr - Accident.
2,At Austin Blvd/Exit 23A - Accident.
2,At 18th St/Exit 52C - Accident.
2,At Adams St/Exit 51F - Accident.
4,Closed at Kennedy Ave/Exit 3 - Road closed due to accident.
3,At Garfield Blvd/Exit 57B - Accident.
2,At Burr St/Exit 6 - Accident.
2,At US-30/Exit 253 - Accident.
2,At Naperville Rd - Accident.
2,At Huntington Blvd - Accident.
2,At Huntington Blvd - Accident.
2,At IL-22/Half Day Rd - Accident.
3,At 79th St/60C - Accident.
4,Closed between US-231/Exit 247 and 109th Ave/Exit 249 - Road closed due to accident.
3,Between Kennedy Ave/Exit 3 and IN-912/Cline Ave/Exit 5 - Accident.
3,Ramp to I-55 Northbound and Joliet Rd - Accident.
3,Ramp to I-55/Stevenson Expy and Joliet Rd - Accident.
3,Ramp to I-55/Stevenson Expy (North) - Accident.
3,At Grant St/Exit 9 - Accident.
2,At Damen Ave/Exit 47B - Accident.
2,At Independence Blvd/Exit 26A - Accident.
2,At 35th St/Exit 55A - Accident.
2,At CR-KR/County Line Rd/Exit 337 - Accident.
2,At 59th St/Exit 58A - Accident.
3,At US-12/US-20/95th St/Exit 62 - Accident.
2,At IL-1/Halsted St/Exit 357 - Accident.
2,At 47th St/Exit 56B - Accident.
2,At Kennedy Ave/Exit 3 - Accident.
2,Ramp to I-55/Stevenson Expy - Accident.
2,Ramp to I-55/Stevenson Expy - Accident.
2,Ramp to Canalport Ave/Cermak Rd/Exit 53 - Accident.
2,At CR-C/Wilmot Rd/Exit 345 - Accident.
4,Closed at 109th Ave/Exit 249 - Road closed due to accident.
2,At Grant St/Exit 9 - Accident.
2,At 109th Ave/Exit 249 - Accident.
2,At 47th St/Exit 56B - Accident.
2,At I-294/Exit 277A - Accident.
2,Ramp to Exit 345B - Accident.
2,Ramp to I-290/Eisenhower Expy - Accident.
2,Ramp to I-290/Eisenhower Expy Westbound - Accident.
2,At Roosevelt Rd - Accident.
2,Ramp to Exit 51H - Accident.
2,At 31st St/Oak Brook Rd - Accident.
2,Ramp to I-290/Eisenhower Expy - Accident.
2,At 31st St/Oak Brook Rd - Accident.
2,Ramp to Roosevelt Rd - Accident.
2,At IL-22/W Half Day Rd - Accident.
2,At Mathon Dr - Accident.
2,At Joliet Rd - Accident.
2,At St Lawrence Ave - Accident.
2,At IL-137 - Accident.
2,At 59th St/Exit 58A - Accident.
2,At US Highway 12 - Accident.
2,At 18th St/Exit 52C - Accident.
2,At I-355/North-South Tollway - Accident.
2,At I-355/North-South Tollway - Accident.
2,Between Highland Ave and Midwest Rd - Accident.
2,Between Buckley Rd and Cavin Dr - Accident.
2,At Lawson Blvd - Accident.
2,At I-94/Tri-State Tollway - Accident.
2,Between Kostner Ave/Exit 25 and IL-50/Cicero Ave/Exit 24B - Accident.
2,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
2,Between I-55/Stevenson Expy/Exit 53C and I-55/Stevenson Expy/Exit 53B - Accident.
2,At IL-50/Cicero Ave/Exit 24B - Accident.
2,At Maple Ave - Accident.
2,At York Rd - Accident.
2,At St Charles Rd - Accident.
2,At Barrington Rd - Accident.
2,At Montrose Ave/Exit 43C - Accident.
2,At I-88/IL-56/Butterfield Rd - Accident.
2,At Grey Ave - Accident.
2,At CR-100/CR-A50/Lake Cook Rd - Accident.
2,At IL-64/North Ave - Accident.
2,At CR-100/CR-A50/Lake Cook Rd - Accident.
2,Ramp to I-55/Stevenson Expy - Accident.
2,Ramp to I-55/Stevenson Expy - Accident.
2,Ramp to Canalport Ave/Cermak Rd/Exit 53 - Accident.
2,At IL-50/Cicero Ave/Exit 286 - Accident.
2,At IL-83 - Accident.
2,At IL-58/Golf Rd - Accident.
2,At Prairie Crossing Dr - Accident.
2,At Prairie Crossing Dr - Accident.
2,At Grove Ave - Accident.
2,At Barrington Rd - Accident.
2,Between IL-58/Dempster St/Exit 37 and Touhy Ave/Exit 39 - Accident.
2,At 71st St/Exit 59C (East) - Accident.
2,At IL-137/Buckley Rd - Accident.
2,At IL-83/Kingery Hwy - Accident.
2,At I-94/Tri-State Tollway - Accident.
2,At US-12/US-20/US-45/Exit 279 - Accident.
2,At IL-21/N Milwaukee Ave - Accident.
2,At IL-171/Archer Ave - Accident.
2,At CR-29/CR-W15/N Hunt Club Rd - Accident.
2,At Joliet St - Accident.
2,At Gages Lake Rd - Accident.
2,At 35th St/Exit 55A - Accident.
3,At IL-50/Cicero Ave/Exit 24B - Accident.
3,At 25th Ave/Exit 18 - Accident.
3,At Westleigh Rd - Accident.
3,At Westleigh Rd - Accident.
3,At Checker Rd - Accident.
3,At Lakehurst Rd - Accident.
3,At Lakehurst Rd - Accident.
3,At Western Ave - Accident.
3,Between Morgan St/Exit 29B and I-90/I-94 - Accident.
3,At Western Ave - Accident.
3,At Old Hicks Rd - Accident.
3,At Old Hicks Rd - Accident.
3,At Green Bay Rd - Accident.
3,At Green Bay Rd - Accident.
3,At Ashland Ave - Accident.
3,At Fairfield Rd - Accident.
3,At Fairfield Rd - Accident.
3,At Ml King Jr Dr - Accident.
3,At Ml King Jr Dr - Accident.
3,At Orleans St - Accident.
3,At Belden St - Accident.
3,At Belden St - Accident.
3,At Kostner Ave - Accident.
3,At Deerpath Dr - Accident.
3,At IL Route 83 - Accident.
3,At Kostner Ave - Accident.
3,At Deerpath Dr - Accident.
3,Between 9th Ave/Exit 19B and 1st Ave/Exit 20 - Accident.
3,At US-12/US-20/US-45/Exit 17 - Accident.
3,At Oakley BLV/Western Ave/Exit 27C - Accident.
3,At IL-58/Golf Rd - Accident.
2,Between Burr St/Exit 6 and Exit 10 - Accident.
2,Ramp to I-80/I-94 Wb - Accident.
2,Ramp to I-80/I-94/US-6/Exit 259 - Accident.
2,Ramp to I-80/I-94 Westbound - Accident.
2,At US-12/US-20/95th St - Accident.
2,At Winchester Rd - Accident.
2,At Station St - Accident.
2,Between IN-53/Broadway/Exit 10 and I-65/Exit 11 - Accident.
2,At US-41/Calumet Ave/Exit 1 - Accident.
3,Between 31st St/Exit 54 and I-55/Stevenson Expy/Exit 53C - Accident.
2,At Touhy Ave/Exit 39 - Accident.
2,Between Farnsworth Ave and Diehl Rd/Bilter Rd - Accident.
2,At IL-53 - Accident.
2,At US-421/Exit 34 - Accident.
2,Between I-65/Exit 12 and Central Ave/Exit 13 - Accident.
2,At Deerpath Rd - Accident.
2,At Grant St/Exit 9 - Accident.
2,At Loop Rd - Accident.
2,At CR-46/CR-A19/Sunset Ave - Accident.
2,At Touhy Ave/Exit 39 - Accident.
2,At IL-1/Halsted St/Exit 357 - Accident.
2,At Fairway Dr - Accident.
2,At California Ave/Exit 27B - Accident.
2,At Deer Point Dr - Accident.
2,At 10th St/55th St - Accident.
2,At Myrtle St - Accident.
2,At 10th St/55th St - Accident.
2,At Greene Rd - Accident.
2,At Meyers Rd - Accident.
2,At Lily Ln - Accident.
2,At Washington St - Accident.
2,At 35th St/Exit 55A - Accident.
2,Ramp to S Pulaski Rd - Accident.
2,Ramp to Exit 287 - Accident.
2,At I-90/Kennedy Expy - Accident.
2,At IL-64/North Ave - Accident.
2,Between Lake St and IL-137 - Accident.
2,At 31st St/Exit 54 - Accident.
2,At 35th St/Exit 55A - Accident.
4,Closed at US-30/Lincoln Hwy - Road closed due to accident.
2,At Mercury Dr - Accident.
2,At Belvidere Rd - Accident.
2,At CR-55/CR-A18/W Monaville Rd - Accident.
2,At Lake St/Exit 51A - Accident.
2,At IL-43/Waukegan Rd - Accident.
2,At CR-17/Bowes Rd - Accident.
2,Between S Roselle Rd and North Dr - Accident.
2,At CR-7/CR-V58/Wilson Rd - Accident.
2,At Stony Island Ave/Exit 65 - Accident.
2,At CR-3/Ferry Rd - Accident.
3,At I-88/I-294/Exit 15A - Accident.
2,Between US-34/Ogden Ave and Maple Ave - Accident.
2,At Des Plaines Oasis - Accident.
2,At IL-38/Roosevelt Rd - Accident.
2,At IL-38/Roosevelt Rd - Accident.
2,At Kostner Ave/Exit 25 - Accident.
3,At Kostner Ave/Exit 25 - Accident.
3,At L-173/W IL-173/Rosecrans Rd - Accident.
3,At L-173/W IL-173/Rosecrans Rd - Accident.
3,At Old McHenry Rd - Accident.
3,At IL-22/W Half Day Rd - Accident.
3,At Touhy Ave/Exit 39 - Accident.
3,At IL-137/Buckley Rd/Peterson Rd - Accident.
3,At IL-137/Buckley Rd/Peterson Rd - Accident.
3,At IL-7/Southwest Hwy - Accident.
3,At IL-7/Southwest Hwy - Accident.
3,At IL-173 - Accident.
3,At Kennedy Rd - Accident.
3,At IL-173 - Accident.
3,At US-12/IL-59/N Rand Rd - Accident.
3,At Burr St/Exit 6 - Accident.
3,At US-14/Dempster St - Accident.
3,At Bryn Mawr Ave/Nagle Ave/Exit 82 - Accident.
3,At IL-171/Cumberland Ave/Exit 79 - Accident.
3,At Cass Ave - Accident.
2,At 31st St/Exit 54 - Accident.
3,At US-20/Lake St/North Ave/Exit 13 - Accident.
3,At I-294/Exit 277A - Accident.
2,At Lake Forest Oasis - Accident.
2,Between Armitage Ave/Exit 48A and Division St/Exit 49A - Accident.
2,At Lake Dr - Accident.
2,At Lowlands Dr - Accident.
2,At Wauconda - Accident.
2,Between Laramie Ave/Exit 24A and IL-50/Cicero Ave/Exit 24B - Accident.
2,At Montrose Ave/Exit 43C - Accident.
2,At IL-58/Dempster St/Exit 37 - Accident.
2,At Kostner Ave/Exit 43D - Accident.
2,At I-294/Exit 15A - Accident.
2,At Stonebridge Dr - Accident.
2,At Royal Blvd - Accident.
2,At Illinois St - Accident.
2,At IL-59 - Accident.
2,At IL-132/E Grand Ave - Accident.
2,At Montrose Ave/Exit 43C - Accident.
2,At I-94 - Accident.
2,At I-90/I-94 Eastern Split - Accident.
2,At IL-43/Harlem Ave/Exit 21B - Accident.
2,At I-90 - Accident.
2,Between I-90/I-94 Western Split and Montrose Ave/Exit 43C - Accident.
2,At US-45 - Accident.
2,At Heritage Dr - Accident.
2,At Diamond Lake Rd - Accident.
2,Between Stony Island Ext and 111th St/Exit 66A - Accident.
3,At IL-50/Cicero Ave - Accident.
2,At Pine Grove Ave - Accident.
2,At Sibley Blvd/147th St/Exit 350 - Accident.
2,At Stearns School Rd - Accident.
2,At IL-50/Cicero Ave - Accident.
3,At I-294/IL-38/Roosevelt Rd - Accident.
2,At Fullerton Ave/Exit 47A - Accident.
2,At Washington Blvd/Exit 51C - Accident.
2,Ramp to Wolf Rd/Exit 16 - Accident.
2,Ramp to US-12/US-20/US-45/Mannheim Rd - Accident.
2,Between Adams St/Exit 51F and Madison St/Exit 51D - Accident.
2,At 25th Ave/Exit 18 - Accident.
2,At IL-43/Harlem Ave/Exit 283 - Accident.
2,At Wolf Rd/Exit 16 - Accident.
2,At Plainfield Rd - Accident.
2,At York Rd - Accident.
3,At 71st St/Exit 59C (West) - Accident.
2,At Powis Rd - Accident.
2,At Garden Ave - Accident.
2,At CR-17/Maple Ave - Accident.
2,At IL-131/S Green Bay Rd - Accident.
